station_id,status,capacity
31623.0,keep,0
31229.0,keep,0
31699.0,keep,0
31201.0,keep,0
31101.0,keep,0
31600.0,keep,0
31603.0,keep,0
31200.0,keep,0
31247.0,keep,0
31258.0,keep,0
31249.0,keep,0
31627.0,keep,0
31248.0,keep,0
31288.0,keep,0
31104.0,keep,0
31202.0,keep,0
31125.0,keep,0
31281.0,keep,0
31236.0,keep,0
31214.0,keep,0
31203.0,keep,0
31532.0,keep,0
31289.0,keep,0
31290.0,keep,0
31330.0,keep,0
31615.0,keep,0
31266.0,keep,0
31114.0,keep,0
31662.0,keep,0
31324.0,keep,0
31246.0,keep,0
31108.0,keep,0
31228.0,keep,0
31107.0,keep,0
31119.0,keep,0
31124.0,keep,0
31102.0,keep,0
31116.0,keep,0
31225.0,keep,0
31609.0,keep,0
31628.0,keep,0
31646.0,keep,0
31295.0,keep,0
31278.0,keep,0
31212.0,keep,0
31213.0,keep,0
31128.0,keep,30
31653.0,keep,62
31296.0,keep,61
31241.0,keep,60
31312.0,keep,60
31641.0,keep,60
31257.0,keep,60
31243.0,keep,59
31311.0,keep,59
31327.0,keep,59
31134.0,keep,58
31117.0,keep,58
31280.0,keep,57
31321.0,keep,57
31506.0,keep,57
31205.0,keep,56
31655.0,keep,56
31237.0,keep,56
31132.0,keep,56
31611.0,keep,56
30201.0,keep,56
31265.0,keep,55
31336.0,keep,55
31299.0,keep,55
31245.0,keep,55
31285.0,keep,54
31234.0,keep,54
31271.0,keep,53
31230.0,keep,53
31533.0,keep,53
31616.0,keep,53
31223.0,keep,53
31232.0,keep,53
31828.0,keep,53
31619.0,keep,53
31277.0,keep,52
31282.0,keep,51
31240.0,keep,51
31275.0,keep,51
31286.0,keep,51
31233.0,keep,51
31113.0,keep,51
31610.0,keep,50
31639.0,keep,50
31273.0,keep,50
31505.0,keep,50
31602.0,keep,48
31251.0,keep,48
31126.0,keep,47
31531.0,keep,47
31272.0,keep,47
31215.0,keep,46
31666.0,keep,46
31129.0,keep,46
31135.0,keep,46
31269.0,keep,46
31121.0,keep,46
31221.0,keep,46
31120.0,keep,46
31536.0,keep,46
31503.0,keep,46
31651.0,keep,45
31604.0,keep,45
31618.0,keep,45
31222.0,keep,45
31624.0,keep,45
31210.0,keep,45
31267.0,keep,44
31219.0,keep,44
31291.0,keep,44
30200.0,keep,44
31643.0,keep,44
31419.0,keep,44
31612.0,keep,43
31328.0,keep,43
31401.0,keep,43
31218.0,keep,43
31631.0,keep,43
31323.0,keep,43
31263.0,keep,43
31325.0,keep,42
31064.0,keep,42
31625.0,keep,41
31133.0,keep,41
31209.0,keep,41
31122.0,keep,41
31519.0,keep,41
31298.0,keep,41
31332.0,keep,41
31131.0,keep,40
31231.0,keep,40
31118.0,keep,40
31238.0,keep,40
31650.0,keep,40
31264.0,keep,40
31509.0,keep,39
31640.0,keep,39
31244.0,keep,39
31130.0,keep,39
31540.0,keep,38
31109.0,keep,38
31517.0,keep,38
31297.0,keep,38
31633.0,keep,38
31115.0,keep,37
31947.0,keep,37
31622.0,keep,37
31293.0,keep,36
31636.0,keep,36
31283.0,keep,36
31216.0,keep,36
31276.0,keep,35
31620.0,keep,35
31226.0,keep,35
31256.0,keep,35
31227.0,keep,35
31652.0,keep,35
31224.0,keep,35
31110.0,keep,35
31239.0,keep,34
31274.0,keep,34
31642.0,keep,34
31242.0,keep,34
31605.0,keep,34
31634.0,keep,34
31670.0,keep,34
31250.0,keep,33
31136.0,keep,33
31270.0,keep,33
31657.0,keep,33
31111.0,keep,33
31268.0,keep,33
31217.0,keep,32
31235.0,keep,32
31677.0,keep,32
31127.0,keep,32
31674.0,keep,32
31208.0,keep,32
31978.0,keep,32
31527.0,keep,31
31661.0,keep,31
31400.0,keep,31
31668.0,keep,31
31292.0,keep,30
31606.0,keep,30
31279.0,keep,30
31062.0,keep,30
31518.0,keep,30
31123.0,keep,30
31220.0,keep,30
31672.0,keep,30
31287.0,keep,29
31638.0,keep,29
31262.0,keep,29
31260.0,keep,29
31302.0,keep,29
31211.0,keep,28
31314.0,keep,28
31632.0,keep,28
31253.0,keep,28
31254.0,keep,28
31404.0,keep,28
31306.0,keep,28
31307.0,keep,28
31649.0,keep,27
31647.0,keep,27
31645.0,keep,27
31663.0,keep,27
31335.0,keep,27
31112.0,keep,27
31255.0,keep,27
31022.0,keep,27
31524.0,keep,26
31002.0,keep,26
31669.0,keep,25
31252.0,keep,25
31680.0,keep,25
31204.0,keep,25
31014.0,keep,25
31106.0,keep,25
31675.0,keep,25
31630.0,keep,24
31667.0,keep,24
31071.0,keep,24
33200.0,keep,24
31337.0,keep,24
32226.0,keep,24
32301.0,keep,24
31629.0,keep,23
31303.0,keep,23
31338.0,keep,23
31534.0,keep,23
31626.0,keep,23
31515.0,keep,23
31077.0,keep,23
31522.0,keep,23
31660.0,keep,23
31007.0,keep,23
31635.0,keep,23
31408.0,keep,23
31105.0,keep,22
31637.0,keep,22
31294.0,keep,22
31523.0,keep,22
31514.0,keep,22
31339.0,keep,22
31656.0,keep,22
31284.0,keep,21
31644.0,keep,21
31601.0,keep,21
31426.0,keep,21
31429.0,keep,21
31089.0,keep,21
31137.0,keep,21
31529.0,keep,21
31659.0,keep,21
31005.0,keep,21
31917.0,keep,21
31024.0,keep,21
31678.0,keep,21
31520.0,keep,21
31037.0,keep,20
31608.0,keep,20
31207.0,keep,20
31421.0,keep,20
31512.0,keep,20
31664.0,keep,20
31621.0,keep,20
31320.0,keep,20
31301.0,keep,20
31725.0,keep,20
31305.0,keep,20
31648.0,keep,20
31100.0,keep,19
31016.0,keep,19
31003.0,keep,19
31969.0,keep,19
31006.0,keep,19
31712.0,keep,19
31300.0,keep,19
31500.0,keep,19
31904.0,keep,18
31417.0,keep,18
31027.0,keep,18
31393.0,keep,18
31000.0,keep,18
31039.0,keep,18
31939.0,keep,18
31011.0,keep,18
31304.0,keep,17
31676.0,keep,17
31326.0,keep,17
31030.0,keep,17
31206.0,keep,17
31080.0,keep,17
31041.0,keep,17
31507.0,keep,16
31139.0,keep,16
31259.0,keep,16
31673.0,keep,16
31406.0,keep,16
31516.0,keep,16
31261.0,keep,16
31034.0,keep,16
31929.0,keep,16
31607.0,keep,15
31511.0,keep,15
31017.0,keep,15
31418.0,keep,15
31025.0,keep,15
31541.0,keep,15
31138.0,keep,15
31950.0,keep,15
31525.0,keep,15
32423.0,keep,15
31310.0,keep,14
31031.0,keep,14
31508.0,keep,14
31827.0,keep,14
31392.0,keep,14
31318.0,keep,14
31727.0,keep,14
31658.0,keep,14
31019.0,keep,14
32002.0,keep,14
31015.0,keep,13
31042.0,keep,13
31968.0,keep,13
31407.0,keep,13
31098.0,keep,13
31504.0,keep,13
31340.0,keep,13
31049.0,keep,13
31979.0,keep,13
31333.0,keep,13
31910.0,keep,13
31029.0,keep,13
31425.0,keep,13
31654.0,keep,13
31918.0,keep,13
32048.0,keep,13
31023.0,keep,13
31009.0,keep,12
31091.0,keep,12
31391.0,keep,12
31394.0,keep,12
31926.0,keep,12
31513.0,keep,12
32418.0,keep,12
31665.0,keep,12
31617.0,keep,12
31020.0,keep,12
32046.0,keep,12
31931.0,keep,12
32406.0,keep,12
31060.0,keep,12
31959.0,keep,12
31021.0,keep,12
31038.0,keep,12
32055.0,keep,12
31411.0,keep,12
31940.0,keep,12
31140.0,keep,12
31395.0,keep,12
31331.0,keep,12
31413.0,keep,12
31721.0,keep,12
31087.0,keep,11
31313.0,keep,11
32432.0,keep,11
31093.0,keep,11
31937.0,keep,11
32429.0,keep,11
31051.0,keep,11
31065.0,keep,11
32049.0,keep,11
32220.0,keep,11
32014.0,keep,11
31530.0,keep,11
31010.0,keep,11
31308.0,keep,11
32268.0,keep,11
31924.0,keep,11
31502.0,keep,11
31528.0,keep,11
31043.0,keep,11
31085.0,keep,11
31040.0,keep,11
32057.0,keep,11
32262.0,keep,11
31920.0,keep,11
31916.0,keep,11
31036.0,keep,10
31719.0,keep,10
31322.0,keep,10
31012.0,keep,10
31402.0,keep,10
31723.0,keep,10
31501.0,keep,10
31053.0,keep,10
31935.0,keep,10
31955.0,keep,10
31403.0,keep,10
32231.0,keep,10
32229.0,keep,10
31420.0,keep,10
32000.0,keep,10
31079.0,keep,10
31052.0,keep,10
31424.0,keep,10
32088.0,keep,10
31960.0,keep,10
31801.0,keep,10
32420.0,keep,10
31086.0,keep,10
31013.0,keep,10
31972.0,keep,10
31938.0,keep,10
31970.0,keep,10
31026.0,keep,10
31309.0,keep,10
31964.0,keep,10
32234.0,keep,10
31050.0,keep,10
32237.0,keep,10
31018.0,keep,10
32086.0,keep,10
32421.0,keep,10
31671.0,keep,10
31812.0,keep,10
32403.0,keep,10
31974.0,keep,10
32248.0,keep,10
32290.0,keep,10
31073.0,keep,10
32225.0,keep,10
32087.0,keep,10
31823.0,keep,10
31535.0,keep,10
32415.0,keep,10
31075.0,keep,10
32259.0,keep,10
31716.0,keep,10
32219.0,keep,10
31319.0,keep,10
31720.0,keep,10
31074.0,keep,10
31033.0,keep,10
31092.0,keep,9
32427.0,keep,9
31035.0,keep,9
31724.0,keep,9
32224.0,keep,9
32264.0,keep,9
31069.0,keep,9
31387.0,keep,9
32424.0,keep,9
31824.0,keep,9
31055.0,keep,9
31944.0,keep,9
31004.0,keep,9
31076.0,keep,9
32250.0,keep,9
32320.0,keep,9
31097.0,keep,9
31919.0,keep,9
32235.0,keep,9
32223.0,keep,9
32039.0,keep,9
31315.0,keep,9
32416.0,keep,9
32425.0,keep,9
31088.0,keep,9
31090.0,keep,9
31381.0,keep,9
31900.0,keep,9
31317.0,keep,9
32414.0,keep,9
31412.0,keep,9
32045.0,keep,9
31045.0,keep,9
32276.0,keep,9
31936.0,keep,9
31831.0,keep,9
32407.0,keep,9
32405.0,keep,9
32402.0,keep,9
32263.0,keep,9
31820.0,keep,9
31902.0,keep,9
32242.0,keep,9
31059.0,keep,9
31954.0,keep,9
32053.0,keep,9
32205.0,keep,9
32600.0,keep,9
32209.0,keep,9
32213.0,keep,9
32246.0,keep,9
31909.0,keep,9
32018.0,keep,9
31933.0,keep,9
32001.0,keep,9
31044.0,keep,9
32411.0,keep,9
32280.0,keep,9
32269.0,keep,9
32272.0,keep,9
31028.0,keep,9
31963.0,keep,9
32426.0,keep,9
32417.0,keep,9
31542.0,keep,9
32289.0,keep,9
31047.0,keep,9
31094.0,keep,9
32230.0,keep,9
32008.0,keep,9
32036.0,keep,8
31915.0,keep,8
31048.0,keep,8
31066.0,keep,8
32266.0,keep,8
31423.0,keep,8
31405.0,keep,8
32258.0,keep,8
32251.0,keep,8
32256.0,keep,8
31930.0,keep,8
32236.0,keep,8
32275.0,keep,8
32410.0,keep,8
31385.0,keep,8
32428.0,keep,8
31526.0,keep,8
32604.0,keep,8
32608.0,keep,8
31905.0,keep,8
32606.0,keep,8
32038.0,keep,8
31949.0,keep,8
32214.0,keep,8
32603.0,keep,8
31067.0,keep,8
32253.0,keep,8
32040.0,keep,8
32408.0,keep,8
31971.0,keep,8
32076.0,keep,8
31802.0,keep,8
31057.0,keep,8
32026.0,keep,8
32027.0,keep,8
31383.0,keep,8
31927.0,keep,8
32247.0,keep,8
32283.0,keep,8
31903.0,keep,8
31390.0,keep,8
31414.0,keep,8
31973.0,keep,8
31083.0,keep,8
31032.0,keep,8
31054.0,keep,8
32092.0,keep,8
32078.0,keep,8
32430.0,keep,8
32271.0,keep,8
32037.0,keep,8
32255.0,keep,8
32218.0,keep,8
31096.0,keep,8
32607.0,keep,8
32243.0,keep,8
31521.0,keep,8
32011.0,keep,8
31708.0,keep,8
32034.0,keep,8
32295.0,keep,8
32089.0,keep,8
31082.0,keep,8
32212.0,keep,8
31981.0,keep,8
32025.0,keep,8
31813.0,keep,8
32051.0,keep,8
31907.0,keep,8
32294.0,keep,8
31334.0,keep,8
32434.0,keep,8
31415.0,keep,8
31399.0,keep,8
32267.0,keep,8
32431.0,keep,8
31056.0,keep,8
32215.0,keep,8
31380.0,keep,8
32019.0,keep,7
32433.0,keep,7
32422.0,keep,7
31068.0,keep,7
32024.0,keep,7
32029.0,keep,7
32201.0,keep,7
32228.0,keep,7
31948.0,keep,7
31428.0,keep,7
31700.0,keep,7
32293.0,keep,7
31070.0,keep,7
31941.0,keep,7
31046.0,keep,7
31806.0,keep,7
31416.0,keep,7
32279.0,keep,7
31956.0,keep,7
31817.0,keep,7
31084.0,keep,7
31923.0,keep,7
31398.0,keep,7
31081.0,keep,7
31078.0,keep,7
32044.0,keep,7
32203.0,keep,7
31906.0,keep,7
31966.0,keep,7
32232.0,keep,7
31977.0,keep,7
32277.0,keep,7
31063.0,keep,7
32083.0,keep,7
32413.0,keep,7
32602.0,keep,7
32058.0,keep,7
31913.0,keep,7
32282.0,keep,7
32021.0,keep,7
31826.0,keep,7
32207.0,keep,7
32080.0,keep,7
31932.0,keep,7
31316.0,keep,7
32074.0,keep,7
31943.0,keep,7
31717.0,keep,7
32227.0,keep,7
32056.0,keep,7
32005.0,keep,7
32241.0,keep,7
32204.0,keep,7
31061.0,keep,7
32601.0,keep,7
32274.0,keep,7
32265.0,keep,7
31804.0,keep,7
32404.0,keep,7
31803.0,keep,7
31822.0,keep,7
31976.0,keep,7
32012.0,keep,7
32609.0,keep,7
32288.0,keep,7
31537.0,keep,7
31422.0,keep,7
31538.0,keep,7
31701.0,keep,7
32069.0,keep,7
32233.0,keep,7
31901.0,keep,7
31952.0,keep,7
32003.0,keep,7
32063.0,keep,7
32094.0,keep,6
32238.0,keep,6
32270.0,keep,6
31510.0,keep,6
31958.0,keep,6
31967.0,keep,6
31714.0,keep,6
31805.0,keep,6
32200.0,keep,6
32211.0,keep,6
32401.0,keep,6
31703.0,keep,6
32260.0,keep,6
32252.0,keep,6
31545.0,keep,6
31539.0,keep,6
32297.0,keep,6
32068.0,keep,6
32061.0,keep,6
32216.0,keep,6
31543.0,keep,6
31962.0,keep,6
31830.0,keep,6
31961.0,keep,6
32062.0,keep,6
31928.0,keep,6
31951.0,keep,6
31099.0,keep,6
31546.0,keep,6
31728.0,keep,6
31389.0,keep,6
32054.0,keep,6
32412.0,keep,6
32028.0,keep,6
31921.0,keep,6
32066.0,keep,6
32032.0,keep,6
31427.0,keep,6
32067.0,keep,6
31386.0,keep,6
31706.0,keep,6
31705.0,keep,6
32400.0,keep,6
32278.0,keep,6
31811.0,keep,6
31825.0,keep,6
32261.0,keep,6
31058.0,keep,6
32081.0,keep,6
31908.0,keep,6
31818.0,keep,6
31814.0,keep,6
32059.0,keep,6
32901.0,keep,6
31702.0,keep,5
32409.0,keep,5
31815.0,keep,5
32281.0,keep,5
31942.0,keep,5
31711.0,keep,5
31914.0,keep,5
32082.0,keep,5
31816.0,keep,5
32298.0,keep,5
31704.0,keep,5
31095.0,keep,5
31713.0,keep,5
31945.0,keep,5
32065.0,keep,5
32079.0,keep,5
32090.0,keep,5
32419.0,keep,5
31946.0,keep,5
32605.0,keep,5
32084.0,keep,5
32075.0,keep,5
32296.0,keep,5
32217.0,keep,5
31912.0,keep,5
32047.0,keep,5
32210.0,keep,5
31829.0,keep,5
32006.0,keep,5
32017.0,keep,5
32239.0,keep,5
31707.0,keep,5
32206.0,keep,5
32221.0,keep,5
32244.0,keep,4
31819.0,keep,4
31544.0,keep,4
31953.0,keep,4
31800.0,keep,4
31957.0,keep,4
31808.0,keep,4
31726.0,keep,4
32077.0,keep,4
31072.0,keep,4
31718.0,keep,4
31715.0,keep,4
32043.0,keep,4
31710.0,keep,4
32064.0,keep,4
32050.0,keep,3
32101.0,keep,3
32023.0,keep,3
32022.0,keep,3
32073.0,keep,3
31396.0,keep,3
31329.0,keep,2
31722.0,keep,2
32009.0,keep,2
31807.0,keep,1
32085.0,keep,1
